"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2014,1,"AA","American Airlines Inc.","JFK","New York, NY: John F. Kennedy International",1139.00,233.00,68.65,11.21,78.74,0.00,74.40,74.00,13.00,15754.00,3957.00,1575.00,3431.00,0.00,6791.00,
2014,1,"AA","American Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",2595.00,452.00,132.37,74.77,121.66,0.04,123.16,62.00,3.00,25283.00,7552.00,4600.00,4232.00,4.00,8895.00,
2014,1,"AA","American Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",13135.00,2185.00,505.52,133.75,546.43,0.27,999.02,295.00,17.00,137289.00,49667.00,10471.00,18417.00,15.00,58719.00,
2014,1,"AA","American Airlines Inc.","OGG","Kahului, HI: Kahului Airport",92.00,20.00,9.57,0.00,9.95,0.00,0.49,0.00,0.00,812.00,563.00,0.00,230.00,0.00,19.00,
2014,1,"AA","American Airlines Inc.","HNL","Honolulu, HI: Honolulu International",176.00,50.00,14.46,5.65,19.95,0.00,9.93,0.00,1.00,2565.00,844.00,238.00,646.00,0.00,837.00,
2014,1,"AA","American Airlines Inc.","BOS","Boston, MA: Logan International",861.00,183.00,63.76,31.12,31.03,0.00,57.08,62.00,3.00,10828.00,3842.00,2192.00,1276.00,0.00,3518.00,
2014,1,"AA","American Airlines Inc.","SFO","San Francisco, CA: San Francisco International",879.00,228.00,68.54,22.44,81.68,0.00,55.34,25.00,3.00,12140.00,3837.00,1596.00,3112.00,0.00,3595.00,
2014,1,"AA","American Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",413.00,69.00,35.11,0.00,4.18,0.00,29.72,13.00,0.00,2810.00,1357.00,0.00,115.00,0.00,1338.00,
2014,1,"AA","American Airlines Inc.","DCA","Washington, DC: Ronald Reagan Washington National",807.00,153.00,52.85,23.47,22.84,0.00,53.85,34.00,6.00,7591.00,2477.00,1428.00,930.00,0.00,2756.00,
2014,1,"AA","American Airlines Inc.","LGA","New York, NY: LaGuardia",1289.00,217.00,58.02,44.81,28.32,0.00,85.86,117.00,13.00,11006.00,3022.00,2010.00,1267.00,0.00,4707.00,
2014,1,"AA","American Airlines Inc.","PBI","West Palm Beach/Palm Beach, FL: Palm Beach International",254.00,38.00,14.37,5.64,10.38,0.00,7.61,13.00,1.00,2181.00,691.00,495.00,415.00,0.00,580.00,
2014,1,"AA","American Airlines Inc.","DTW","Detroit, MI: Detroit Metro Wayne County",205.00,36.00,19.44,0.00,7.22,0.00,9.34,9.00,0.00,1753.00,1000.00,0.00,268.00,0.00,485.00,
2014,1,"AA","American Airlines Inc.","LAS","Las Vegas, NV: McCarran International",866.00,212.00,80.48,15.11,62.64,0.00,53.78,20.00,1.00,9871.00,3340.00,1163.00,1839.00,0.00,3529.00,
2014,1,"AA","American Airlines Inc.","ORD","Chicago, IL: Chicago O'Hare International",4019.00,1015.00,190.55,26.84,415.33,0.00,382.28,348.00,7.00,72111.00,14029.00,2537.00,23364.00,0.00,32181.00,
2014,1,"AA","American Airlines Inc.","STL","St. Louis, MO: Lambert-St. Louis International",551.00,139.00,35.05,12.92,34.34,0.92,55.78,44.00,1.00,6840.00,1618.00,599.00,1203.00,24.00,3396.00,
2014,1,"AA","American Airlines Inc.","PDX","Portland, OR: Portland International",186.00,72.00,20.22,8.08,24.44,0.00,19.26,3.00,0.00,3101.00,970.00,334.00,680.00,0.00,1117.00,
2014,1,"AA","American Airlines Inc.","SAN","San Diego, CA: San Diego International",453.00,131.00,47.50,17.68,24.73,0.00,41.10,14.00,7.00,7417.00,2791.00,1481.00,803.00,0.00,2342.00,
2014,1,"AA","American Airlines Inc.","MIA","Miami, FL: Miami International",4360.00,848.00,211.46,88.10,279.48,1.00,267.96,104.00,4.00,48027.00,13942.00,7183.00,9578.00,18.00,17306.00,
2014,1,"AA","American Airlines Inc.","ABQ","Albuquerque, NM: Albuquerque International Sunport",218.00,60.00,31.99,0.00,10.02,0.00,17.98,2.00,0.00,2655.00,1475.00,0.00,264.00,0.00,916.00,
2014,1,"AA","American Airlines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",510.00,126.00,47.23,16.78,19.31,0.00,42.68,16.00,0.00,7481.00,2521.00,944.00,701.00,0.00,3315.00,
2014,1,"AA","American Airlines Inc.","SNA","Santa Ana, CA: John Wayne Airport-Orange County",374.00,69.00,27.56,8.15,9.64,0.00,23.65,8.00,3.00,2749.00,1195.00,341.00,336.00,0.00,877.00,
2014,1,"AA","American Airlines Inc.","ONT","Ontario, CA: Ontario International",124.00,28.00,14.01,0.00,4.97,0.00,9.02,1.00,0.00,1329.00,606.00,0.00,171.00,0.00,552.00,
2014,1,"AA","American Airlines Inc.","DEN","Denver, CO: Denver International",399.00,128.00,53.67,4.62,27.60,0.00,42.11,5.00,0.00,6166.00,2617.00,290.00,940.00,0.00,2319.00,
2014,1,"AA","American Airlines Inc.","SJU","San Juan, PR: Luis Munoz Marin International",403.00,97.00,36.00,18.73,18.32,0.00,23.95,4.00,1.00,5771.00,1759.00,1615.00,741.00,0.00,1656.00,
2014,1,"AA","American Airlines Inc.","EGE","Eagle, CO: Eagle County Regional",198.00,55.00,21.76,7.92,10.31,0.00,15.01,12.00,9.00,3854.00,1651.00,656.00,451.00,0.00,1096.00,
2014,1,"AA","American Airlines Inc.","EWR","Newark, NJ: Newark Liberty International",298.00,52.00,16.02,0.95,24.11,0.00,10.91,20.00,1.00,3570.00,1241.00,41.00,1569.00,0.00,719.00,
2014,1,"AA","American Airlines Inc.","RDU","Raleigh/Durham, NC: Raleigh-Durham International",363.00,69.00,36.07,9.59,4.82,0.00,18.52,12.00,0.00,3857.00,1625.00,517.00,151.00,0.00,1564.00,
2014,1,"AA","American Airlines Inc.","SEA","Seattle, WA: Seattle/Tacoma International",395.00,126.00,30.70,19.66,43.27,0.00,32.37,11.00,1.00,6256.00,1537.00,1344.00,1294.00,0.00,2081.00,
2014,1,"AA","American Airlines Inc.","RSW","Fort Myers, FL: Southwest Florida International",217.00,55.00,21.57,6.85,11.19,0.00,15.39,12.00,2.00,3417.00,1237.00,360.00,458.00,0.00,1362.00,
2014,1,"AA","American Airlines Inc.","SJC","San Jose, CA: Norman Y. Mineta San Jose International",188.00,57.00,27.14,5.23,14.33,0.00,10.30,5.00,0.00,2670.00,1159.00,486.00,448.00,0.00,577.00,
2014,1,"AA","American Airlines Inc.","PHL","Philadelphia, PA: Philadelphia International",299.00,70.00,23.39,3.85,24.55,0.00,18.21,17.00,1.00,3876.00,885.00,250.00,1545.00,0.00,1196.00,
2014,1,"AA","American Airlines Inc.","MCI","Kansas City, MO: Kansas City International",262.00,74.00,37.18,2.75,12.66,0.00,21.41,3.00,0.00,3592.00,1664.00,127.00,359.00,0.00,1442.00,
2014,1,"AA","American Airlines Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",244.00,42.00,24.69,0.00,3.35,0.00,13.96,9.00,1.00,1898.00,1123.00,0.00,165.00,0.00,610.00,
2014,1,"AA","American Airlines Inc.","RIC","Richmond, VA: Richmond International",89.00,13.00,9.23,0.00,0.06,0.00,3.71,2.00,0.00,589.00,456.00,0.00,4.00,0.00,129.00,
2014,1,"AA","American Airlines Inc.","COS","Colorado Springs, CO: City of Colorado Springs Municipal",129.00,37.00,16.88,0.57,3.70,0.00,15.86,3.00,2.00,2091.00,1060.00,13.00,124.00,0.00,894.00,
2014,1,"AA","American Airlines Inc.","SLC","Salt Lake City, UT: Salt Lake City International",155.00,42.00,21.14,0.00,7.51,0.00,13.35,1.00,2.00,1726.00,954.00,0.00,211.00,0.00,561.00,
2014,1,"AA","American Airlines Inc.","MSP","Minneapolis, MN: Minneapolis-St Paul International",298.00,89.00,31.97,8.16,17.23,0.00,31.64,15.00,0.00,4524.00,1356.00,468.00,722.00,0.00,1978.00,
2014,1,"AA","American Airlines Inc.","GUC","Gunnison, CO: Gunnison-Crested Butte Regional",31.00,10.00,4.97,0.00,1.85,0.00,3.18,2.00,0.00,658.00,271.00,0.00,63.00,0.00,324.00,
2014,1,"AA","American Airlines Inc.","IAD","Washington, DC: Washington Dulles International",250.00,36.00,18.09,0.95,3.08,0.00,13.87,7.00,0.00,1695.00,839.00,21.00,109.00,0.00,726.00,
2014,1,"AA","American Airlines Inc.","MSY","New Orleans, LA: Louis Armstrong New Orleans International",306.00,61.00,29.69,0.66,6.12,0.00,24.54,10.00,1.00,2798.00,1503.00,41.00,187.00,0.00,1067.00,
2014,1,"AA","American Airlines Inc.","MCO","Orlando, FL: Orlando International",842.00,162.00,64.42,17.59,26.09,0.00,53.89,13.00,0.00,8694.00,3324.00,1201.00,900.00,0.00,3269.00,
2014,1,"AA","American Airlines Inc.","MKE","Milwaukee, WI: General Mitchell International",62.00,18.00,8.22,0.00,4.61,0.00,5.17,1.00,2.00,711.00,381.00,0.00,160.00,0.00,170.00,
2014,1,"AA","American Airlines Inc.","SAT","San Antonio, TX: San Antonio International",453.00,92.00,59.12,1.45,6.51,0.00,24.92,16.00,0.00,3750.00,2303.00,69.00,223.00,0.00,1155.00,
2014,1,"AA","American Airlines Inc.","CMH","Columbus, OH: Port Columbus International",147.00,32.00,11.86,0.00,12.89,0.00,7.26,3.00,0.00,1290.00,568.00,0.00,372.00,0.00,350.00,
2014,1,"AA","American Airlines Inc.","TPA","Tampa, FL: Tampa International",485.00,116.00,47.53,10.91,19.28,0.00,38.27,7.00,1.00,6002.00,2305.00,632.00,599.00,0.00,2466.00,
2014,1,"AA","American Airlines Inc.","LIH","Lihue, HI: Lihue Airport",43.00,10.00,2.88,0.00,7.12,0.00,0.00,1.00,0.00,234.00,53.00,0.00,181.00,0.00,0.00,
2014,1,"AA","American Airlines Inc.","FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",334.00,128.00,31.61,18.51,53.19,0.00,24.70,11.00,0.00,6134.00,1502.00,952.00,2043.00,0.00,1637.00,
2014,1,"AA","American Airlines Inc.","AUS","Austin, TX: Austin - Bergstrom International",626.00,124.00,53.70,9.17,13.24,0.00,47.89,21.00,0.00,6244.00,2389.00,707.00,518.00,0.00,2630.00,
2014,1,"AA","American Airlines Inc.","HDN","Hayden, CO: Yampa Valley",35.00,7.00,4.91,0.00,0.41,0.00,1.68,0.00,0.00,362.00,285.00,0.00,21.00,0.00,56.00,
2014,1,"AA","American Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",364.00,74.00,34.77,3.58,14.94,0.00,20.71,10.00,0.00,3130.00,1496.00,100.00,438.00,0.00,1096.00,
2014,1,"AA","American Airlines Inc.","MFE","Mission/McAllen/Edinburg, TX: McAllen Miller International",120.00,33.00,21.59,0.00,1.68,0.00,9.74,2.00,0.00,1504.00,893.00,0.00,62.00,0.00,549.00,
2014,1,"AA","American Airlines Inc.","RNO","Reno, NV: Reno/Tahoe International",93.00,32.00,12.06,4.36,4.87,0.00,10.71,1.00,0.00,1669.00,550.00,271.00,191.00,0.00,657.00,
2014,1,"AA","American Airlines Inc.","PSP","Palm Springs, CA: Palm Springs International",128.00,36.00,13.29,4.43,5.81,0.00,12.48,3.00,0.00,1937.00,757.00,347.00,142.00,0.00,691.00,
2014,1,"AA","American Airlines Inc.","IND","Indianapolis, IN: Indianapolis International",182.00,39.00,13.99,0.00,12.66,0.00,12.35,7.00,0.00,1767.00,744.00,0.00,380.00,0.00,643.00,
2014,1,"AA","American Airlines Inc.","BNA","Nashville, TN: Nashville International",324.00,66.00,33.80,0.00,9.92,0.00,22.28,1.00,0.00,2695.00,1457.00,0.00,226.00,0.00,1012.00,
2014,1,"AA","American Airlines Inc.","ELP","El Paso, TX: El Paso International",237.00,48.00,27.39,0.00,1.26,0.00,19.34,3.00,0.00,2080.00,1058.00,0.00,50.00,0.00,972.00,
2014,1,"AA","American Airlines Inc.","XNA","Fayetteville, AR: Northwest Arkansas Regional",31.00,5.00,3.62,0.00,0.50,0.00,0.88,0.00,0.00,250.00,191.00,0.00,8.00,0.00,51.00,
2014,1,"AA","American Airlines Inc.","KOA","Kona, HI: Kona International Airport at Keahole",31.00,6.00,1.65,0.00,3.35,0.00,1.00,0.00,0.00,200.00,64.00,0.00,89.00,0.00,47.00,
2014,1,"AA","American Airlines Inc.","LIT","Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",93.00,17.00,6.44,0.00,2.89,0.00,7.67,1.00,0.00,712.00,235.00,0.00,86.00,0.00,391.00,
2014,1,"AA","American Airlines Inc.","STT","Charlotte Amalie, VI: Cyril E King",100.00,32.00,13.68,2.99,9.16,0.00,6.17,2.00,1.00,1505.00,699.00,279.00,337.00,0.00,190.00,
2014,1,"AA","American Airlines Inc.","TUL","Tulsa, OK: Tulsa International",245.00,75.00,32.11,2.90,7.15,0.00,32.84,6.00,1.00,3735.00,1501.00,134.00,210.00,0.00,1890.00,
2014,1,"AA","American Airlines Inc.","JAC","Jackson, WY: Jackson Hole",35.00,12.00,6.62,0.00,1.58,0.00,3.81,0.00,1.00,657.00,318.00,0.00,60.00,0.00,279.00,
2014,1,"AA","American Airlines Inc.","OKC","Oklahoma City, OK: Will Rogers World",213.00,50.00,26.80,1.62,3.13,0.00,18.44,0.00,0.00,2079.00,1155.00,42.00,82.00,0.00,800.00,
2014,1,"AA","American Airlines Inc.","DAY","Dayton, OH: James M Cox/Dayton International",89.00,22.00,7.81,0.00,6.16,0.00,8.03,0.00,1.00,920.00,429.00,0.00,163.00,0.00,328.00,
2014,1,"AA","American Airlines Inc.","MEM","Memphis, TN: Memphis International",120.00,36.00,14.34,0.00,3.66,0.00,18.00,3.00,0.00,1589.00,621.00,0.00,113.00,0.00,855.00,
2014,1,"AA","American Airlines Inc.","ICT","Wichita, KS: Wichita Mid-Continent",120.00,34.00,17.18,0.00,3.82,0.00,13.01,3.00,0.00,1430.00,774.00,0.00,98.00,0.00,558.00,
2014,1,"AA","American Airlines Inc.","MTJ","Montrose/Delta, CO: Montrose Regional",4.00,1.00,0.82,0.00,0.18,0.00,0.00,0.00,0.00,17.00,14.00,0.00,3.00,0.00,0.00,
2014,1,"AA","American Airlines Inc.","JAX","Jacksonville, FL: Jacksonville International",120.00,26.00,14.51,0.00,1.34,0.00,10.15,0.00,0.00,1326.00,599.00,0.00,42.00,0.00,685.00,
2014,1,"AA","American Airlines Inc.","OMA","Omaha, NE: Eppley Airfield",151.00,26.00,13.05,1.00,2.90,0.00,9.04,2.00,0.00,1263.00,630.00,27.00,70.00,0.00,536.00,
2014,1,"AA","American Airlines Inc.","CLT","Charlotte, NC: Charlotte Douglas International",178.00,31.00,18.34,0.00,2.46,0.00,10.20,7.00,1.00,1645.00,934.00,0.00,95.00,0.00,616.00,
2014,1,"AA","American Airlines Inc.","TUS","Tucson, AZ: Tucson International",275.00,73.00,34.05,6.08,8.19,0.00,24.68,7.00,0.00,3797.00,1565.00,352.00,319.00,0.00,1561.00,
2014,1,"AA","American Airlines Inc.","HSV","Huntsville, AL: Huntsville International-Carl T Jones Field",89.00,15.00,5.38,0.00,0.75,0.00,8.87,2.00,0.00,568.00,216.00,0.00,17.00,0.00,335.00,
2014,1,"AA","American Airlines Inc.","ORF","Norfolk, VA: Norfolk International",62.00,14.00,8.16,0.72,1.54,0.00,3.58,3.00,0.00,1358.00,355.00,538.00,43.00,0.00,422.00,
2014,1,"AA","American Airlines Inc.","FAT","Fresno, CA: Fresno Yosemite International",55.00,10.00,6.17,0.00,1.48,0.00,2.35,0.00,0.00,387.00,246.00,0.00,42.00,0.00,99.00,
2014,1,"AA","American Airlines Inc.","BDL","Hartford, CT: Bradley International",182.00,23.00,12.07,0.00,3.79,0.00,7.14,8.00,1.00,905.00,574.00,0.00,97.00,0.00,234.00,
2014,1,"AA","American Airlines Inc.","DSM","Des Moines, IA: Des Moines International",58.00,17.00,5.99,0.00,3.32,0.00,7.70,0.00,1.00,774.00,309.00,0.00,109.00,0.00,356.00,
2014,1,"AA","American Airlines Inc.","PIT","Pittsburgh, PA: Pittsburgh International",151.00,25.00,12.64,0.00,5.22,0.00,7.14,4.00,0.00,987.00,495.00,0.00,114.00,0.00,378.00,
2014,1,"AA","American Airlines Inc.","BHM","Birmingham, AL: Birmingham-Shuttlesworth International",58.00,16.00,7.66,0.00,0.61,0.00,7.73,5.00,0.00,1034.00,484.00,0.00,52.00,0.00,498.00,
2014,1,"AA","American Airlines Inc.","LBB","Lubbock, TX: Lubbock Preston Smith International",58.00,15.00,6.74,0.00,0.87,0.00,7.39,0.00,0.00,852.00,317.00,0.00,24.00,0.00,511.00,
2014,1,"AA","American Airlines Inc.","SDF","Louisville, KY: Louisville International-Standiford Field",58.00,16.00,3.57,0.00,2.38,0.00,10.05,2.00,0.00,671.00,183.00,0.00,72.00,0.00,416.00,
2014,1,"AA","American Airlines Inc.","CRP","Corpus Christi, TX: Corpus Christi International",62.00,14.00,7.24,0.00,0.14,0.00,6.62,1.00,0.00,661.00,398.00,0.00,5.00,0.00,258.00,
2014,1,"AA","American Airlines Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",85.00,19.00,8.11,0.09,5.09,0.00,5.70,3.00,2.00,877.00,343.00,11.00,209.00,0.00,314.00,
2014,1,"AA","American Airlines Inc.","SMF","Sacramento, CA: Sacramento International",124.00,47.00,23.89,0.00,8.05,0.00,15.06,1.00,0.00,2218.00,1399.00,0.00,214.00,0.00,605.00,
2014,1,"AA","American Airlines Inc.","STX","Christiansted, VI: Henry E. Rohlsen",49.00,10.00,4.73,0.00,2.83,0.00,2.44,0.00,0.00,433.00,231.00,0.00,103.00,0.00,99.00,
2014,1,"AS","Alaska Airlines Inc.","SMF","Sacramento, CA: Sacramento International",147.00,12.00,6.40,0.00,3.60,0.00,2.00,0.00,0.00,485.00,376.00,0.00,70.00,0.00,39.00,
2014,1,"AS","Alaska Airlines Inc.","PDX","Portland, OR: Portland International",1015.00,83.00,26.40,2.16,27.73,1.00,25.71,3.00,1.00,4704.00,1735.00,137.00,766.00,19.00,2047.00,
