deptime	AVG(depdelay15bool)
0	0.0000
1	0.4397
2	0.4439
3	0.4696
4	0.4353
5	0.5450
6	0.5652
7	0.5463
8	0.5565
9	0.4948
10	0.6190
11	0.6028
12	0.5733
13	0.5762
14	0.6334
15	0.6338
16	0.6861
17	0.6146
18	0.6375
19	0.5272
20	0.5952
21	0.6075
22	0.5658
23	0.5741
24	0.4970
25	0.4604
26	0.4507
27	0.4188
28	0.4104
29	0.3886
30	0.3736
31	0.4224
32	0.3934
33	0.4566
34	0.4505
35	0.3406
36	0.3925
37	0.4436
38	0.4045
39	0.3643
40	0.3934
41	0.4391
42	0.4675
43	0.4903
44	0.4017
45	0.4741
46	0.3624
47	0.4087
48	0.4471
49	0.4186
50	0.4502
51	0.4378
52	0.4160
53	0.4643
54	0.4257
55	0.4195
56	0.4324
57	0.3626
58	0.4383
59	0.3110
100	0.3869
101	0.4481
102	0.4346
103	0.4303
104	0.3920
105	0.4359
106	0.4464
107	0.4800
108	0.4485
109	0.4922
110	0.5098
111	0.4295
112	0.4331
113	0.3509
114	0.4063
115	0.4559
116	0.4634
117	0.3333
118	0.4510
119	0.4553
120	0.4867
121	0.5000
122	0.4595
123	0.6220
124	0.4787
125	0.5217
126	0.5119
127	0.4400
128	0.5506
129	0.5054
130	0.6024
131	0.5479
132	0.4429
133	0.5405
134	0.4368
135	0.4627
136	0.4342
137	0.4878
138	0.4308
139	0.4189
140	0.5116
141	0.4253
142	0.3857
143	0.3333
144	0.3371
145	0.4524
146	0.3088
147	0.3056
148	0.2535
149	0.2500
150	0.2632
151	0.5072
152	0.3889
153	0.3607
154	0.4167
155	0.5283
156	0.5227
157	0.5686
158	0.6250
159	0.5000
200	0.4722
201	0.7097
202	0.4118
203	0.6389
204	0.5429
205	0.8182
206	0.7059
207	0.7419
208	0.4545
209	0.5000
210	0.6047
211	0.7826
212	0.4800
213	0.6538
214	0.8571
215	0.5000
216	0.5000
217	0.5652
218	0.6111
219	0.6818
220	0.5833
221	0.6154
222	0.6154
223	0.7222
224	0.7778
225	0.4783
226	0.4800
227	0.4138
228	0.4615
229	0.3871
230	0.3000
231	0.4138
232	0.3636
233	0.2571
234	0.3333
235	0.3023
236	0.2444
237	0.4000
238	0.3793
239	0.2059
240	0.4615
241	0.3125
242	0.3462
243	0.5000
244	0.3333
245	0.3043
246	0.4000
247	0.7500
248	0.5909
249	0.6000
250	0.4000
251	0.3846
252	0.5714
253	0.6154
254	0.5556
255	0.5000
256	0.6000
257	0.5000
258	0.8000
259	0.6667
300	0.1429
301	0.4545
302	0.3000
303	0.6250
304	0.2667
305	0.3200
306	0.3750
307	0.3158
308	0.3043
309	0.1000
310	0.0714
311	0.5263
312	0.3125
313	0.4000
314	0.2667
315	0.2105
316	0.5000
317	0.1667
318	0.1875
319	0.2500
