USAF	WBAN	ICAO	STATION
12900	99999	ENNM	NAMSOS AIRPORT
23600	99999	ESNS	SKELLEFTEA AIRPORT
24530	99999	ESSK	GAVLE/SANDVIKEN AIR FORCE BASE
32635	99999	EGNV	DURHAM TEES VALLEY AIRPORT
34055	99999	EGSD	NORTH DENES AIRPORT
40180	16201	BIKF	KEFLAVIK NAVAL AIR STATION
42020	99999	BGTL	THULE AIR BASE
42605	99999	BGPT	FREDICKSHAB/PAAMIUT AIRPORT
61245	99999	EKAV	AVNO AIR BASE
68065	99999	LSZC	BUOCHS AIRPORT / STANS
84490	13025	LERT	ROTA NAVAL AIR STATION
84515	99999	LEDA	LLEIDA-ALGUAIRE AIRPORT
111910	99999	LOAT	TRAUSDORF AIRPORT
121195	99999	EPLB	LUBLIN AIRPORT
126899	99999	EPNT	NOWY TARG AIRPORT
150001	99999	LRBO	BOBOC AIR BASE
150002	99999	LRFT	BORCEA FETESTI AIR BASE
155258	99999	LBGD	GRAF IGNATIEVO AIR BASE
171001	99999	LTCT	IGDIR AIRPORT
171865	99999	LTBZ	MANISA / SANAYI AIRPORT
368215	99999	UACK	KOKSHETAU AIRPORT
375490	99999	UGGG	TBILISI / LOCHINI AIRPORT
384750	99999	UTFA	ANDIZHAN AIRPORT
386180	99999	UTFF	FERGANA AIRPORT
402900	99999	LLJR	JERUSALEM AIRPORT
404010	99999	OEAO	PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT
404280	99999	OTBD	DOHA INTL AIRPORT
406500	99999	ORBI	BAGHDAD INTL AIRPORT
408361	99999	OIBP	PERSIAN GULF AIRPORT
409900	99999	OAKN	KANDAHAR AIRPORT
417640	99999	OPKD	HYDERABAD AIRPORT
427056	99999	VOBL	BANGALURU INTL AIRPORT
431280	99999	VOHY	BEGUMPET AIRPORT
431285	99999	VOHS	HYDERABAD INTL AIRPORT
471630	99999	RKJB	MUAN INTL AIRPORT
475730	43318	RJSN	NIIGATA AIRPORT
475800	44402	RJSM	MISAWA NAVAL AIR STATION
476790	43319	RJTA	ATSUGI US NAVAL AIR STATION
476830	99999	RJTF	CHOFU AIRPORT
477390	99999	RJNS	SHIZUOKA AIRPORT
479330	42215	ROTM	OKINAWA MARINE CORPS AIR STATION
545110	99999	ZBAA	BEIJING - CAPITAL INTERNATIONAL AIRPORT
560295	99999	ZLYS	YUSHU BATANG AIRPORT
583212	99999	ZSQZ	JINJIANG AIRPORT
583213	99999	ZSZS	ZHOUSHAN AIRPORT
596441	99999	ZGBH	BEIHAI AIRPORT
601465	99999	GMMT	TEL MELLIL AIRPORT
607140	99999	DTTB	SIDI AHMED AIR BASE
619670	70701	FJDG	DIEGO GARCIA NAVAL AIR STATION
620165	99999	HLMS	MISURATA AIRPORT
623970	99999	HEMK	SOHAG AIRPORT
623980	99999	HESG	SOHAG AIRPORT
638320	99999	HTTB	TABORA AIRPORT
644007	99999	FCBY	YOKANGASSI AIRPORT
670735	99999	FMMU	TAMBOHORANO AIRPORT
670736	99999	FMNO	SOALALA AIRPORT
683935	99999	FDNS	NSOKO AIRFIELD
684950	99999	FARB	RICHARDS BAY AIRPORT
685920	99999	FALE	KING SHAKA INTL AIRPORT
691000	99999	KQMH	MAIMANEH AIRFLD/PRT
700260	27502	PABR	W POST-WILL ROGERS MEMORIAL AIRPORT
700300	27503	PAWI	WAINWRIGHT AIRPORT
700631	25715	PAAK	ATKA AIRPORT
700632	26645	PABL	BUCKLAND AIRPORT
700634	27408	PAKU	UGNU-KUPRAUK AIRPORT
700634	99999	PAKU	UGNU-KUPARUK AIRPORT
700635	26465	PAGB	GALBRAITH LAKE AIRPORT
700637	27406	PASC	DEADHORSE AIRPORT
700860	27401	PABA	BARTER ISLAND AIRPORT
701040	26631	PALU	CAPE LISBURNE LRRS AIRPORT
701043	26623	PAPO	POINT HOPE AIRPORT
701043	99999	PAPO	POINT HOPE AIRPORT
701045	26649	PADG	RED DOG AIRPORT
701046	26418	PACE	CENTRAL AIRPORT
701170	26634	PATC	TIN CITY LRRS AIRPORT
701195	26625	PASH	SHISHMAREF/NEW AIRPORT
701210	26624	PPIZ	POINT LAY LRRS AIRPORT
701330	26616	PAOT	RALPH WIEN MEMORIAL AIRPORT
701333	26643	PADE	DEERING AIRPORT
